SMILES,IC50_nM,pIC50
Oc1ccc(cc1)c2ccc3cc(O)cc(C#N)c3c2,84,7.076
Oc1cc(C#N)c2cc(ccc2c1)c3ccc(O)c(F)c3,96,7.018
Oc1ccc(cc1F)c2ccc3c(Br)c(O)cc(C#N)c3c2,116,6.936
Oc1ccc(cc1F)c2ccc3c(C#N)c(O)cc(C#N)c3c2,877,6.057
Cc1c(O)cc(C#N)c2cc(ccc12)c3ccc(O)c(F)c3,406,6.391
Oc1ccc(cc1)c2ccc3c(Cl)c(O)cc(C#N)c3c2,98,7.009
Oc1ccc(cc1F)c2ccc3c(Cl)c(O)cc(C#N)c3c2,55,7.26
Oc1cc(C#C)c2cc(ccc2c1)c3ccc(O)c(F)c3,73,7.137
CC#Cc1cc(O)cc2ccc(cc12)c3ccc(O)c(F)c3,180,6.745
Oc1cc(C=O)c2cc(ccc2c1)c3ccc(O)c(F)c3,73,7.137
Oc1cc(C=C)c2cc(ccc2c1)c3ccc(O)c(F)c3,527,6.278
CCc1cc(O)cc2ccc(cc12)c3ccc(O)c(F)c3,113,6.947
Oc1ccc(cc1)c2ccc3cc(O)ccc3c2,211,6.676
Oc1cccc(c1)c2ccc3c(O)cccc3c2,1452,5.838
Oc1ccc(cc1)c2ccc3c(O)cccc3c2,22,7.658
Oc1cccc(c1)c2ccc3cc(O)ccc3c2,230,6.638
Oc1ccc2cc(ccc2c1)c3ccccc3,1345,5.871
Oc1ccc(cc1)c2ccc3ccc(O)cc3c2,442,6.355
Oc1cccc(c1)c2ccc3ccc(O)cc3c2,2642,5.578
Oc1ccc2ccc(cc2c1)c3ccccc3,3405,5.468
Oc1ccc(cc1)c2ccc3ccccc3c2,638,6.195
Oc1ccc(cc1)c2ccc3c(Cl)c(O)ccc3c2,91,7.041
Oc1ccc(cc1)c2ccc3c(Br)c(O)ccc3c2,266,6.575
Oc1ccc(cc1)c2ccc3c(F)c(O)ccc3c2,77,7.114
Oc1ccc(cc1)c2ccc3c(C#N)c(O)ccc3c2,1402,5.853
Oc1ccc(cc1)c2ccc3c(c(O)ccc3c2)c4ccccc4,1231,5.91
Cc1c(O)ccc2cc(ccc12)c3ccc(O)cc3,282,6.55
COc1c(O)ccc2cc(ccc12)c3ccc(O)cc3,884,6.054
Oc1ccc(cc1)c2ccc3c(c(O)ccc3c2)[N+](=O)[O-],709,6.149
Oc1ccc(c(F)c1)c2ccc3cc(O)ccc3c2,24,7.62
CCC1=N[C@@H]([C@@H](N1)c2ccc(O)cc2)c3ccc(OCCN4CCCCC4)cc3,38,7.42
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(cc4)N5CCN6CCCCC6C5,63,7.201
CC1CN(CCN1C)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,69,7.161
CCN1CCN(CC1C)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,38,7.42
CCC1CN(CCN1C)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,162,6.79
CN1CCN(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,185,6.733
CN1CCC(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccccc5,106,6.975
CN1CCC(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5ccc(F)cc5,87,7.06
CN1CCC(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5cccc(F)c5,163,6.788
CN1CCC(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5cccc(O)c5,108,6.967
CN1CCN(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5cccc(O)c5,169,6.772
CC(C)N1CCN(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5cccc(O)c5,83,7.081
CC(C)CN1CCN(CC1)c2ccc(cc2)C3N(CCc4cc(O)ccc34)c5cccc(O)c5,119,6.924
Oc1cccc(c1)N2CCc3cc(O)ccc3C2c4ccc(cc4)N5CCN(CC6CC6)CC5,122,6.914
Oc1cccc(c1)N2CCc3cc(O)ccc3C2c4ccc(cc4)N5CCN(CC5)C6CCCC6,123,6.91
Oc1cccc(c1)N2CCc3cc(O)ccc3C2c4ccc(cc4)N5CCN(CC5)C6CCCCC6,177,6.752
Oc1ccc2c(c1)sc3c4ccccc4n(Cc5ccc(OCCN6CCCCCC6)cc5)c23,18,7.745
Oc1ccc2c(c1)sc3c4cc(O)ccc4n(Cc5ccc(OCCN6CCCCCC6)cc5)c23,3.34,8.476
CN(C)CCOc1ccc(Cn2c3ccccc3c4sc5cc(O)ccc5c24)cc1,51.4,7.289
CN(C)CCOc1ccc(Cn2c3ccc(O)cc3c4sc5cc(O)ccc5c24)cc1,18,7.745
CCN(CC)CCOc1ccc(Cn2c3ccccc3c4sc5cc(O)ccc5c24)cc1,57.4,7.241
CCN(CC)CCOc1ccc(Cn2c3ccc(O)cc3c4sc5cc(O)ccc5c24)cc1,31.2,7.506
Oc1ccc2c(c1)sc3c4ccccc4n(Cc5ccc(OCCN6CCOCC6)cc5)c23,126,6.9
Oc1ccc2c(c1)sc3c4cc(O)ccc4n(Cc5ccc(OCCN6CCOCC6)cc5)c23,10,8
Oc1ccc2c(c1)sc3c4ccccc4n(Cc5ccc(OCCN6CCCCC6)cc5)c23,39,7.409
Oc1ccc2c(c1)sc3c4cc(O)ccc4n(Cc5ccc(OCCN6CCCCC6)cc5)c23,2.84,8.547
Oc1ccc2c(c1)sc3c4ccccc4n(Cc5ccc(OCCN6CCCC6)cc5)c23,27.2,7.565
Oc1ccc2c(c1)sc3c4cc(O)ccc4n(Cc5ccc(OCCN6CCCC6)cc5)c23,6,8.222
Oc1ccc(cc1)c2ccc3cc(O)ccc3n2,1775,5.751
Oc1ccc(cc1)c2ccc3c(Cl)c(O)ccc3n2,632,6.199
Oc1ccc(cc1)c2ccc3c(Br)c(O)ccc3n2,1140,5.943
Oc1ccc(cc1)c2cc(Cl)c3cc(O)ccc3n2,213,6.672
Oc1ccc2nc(cc(Cl)c2c1)c3ccc(O)c(F)c3,246,6.609
Oc1ccc(cc1)c2cc(Br)c3cc(O)ccc3n2,212,6.674
Oc1ccc2nc(cc(Br)c2c1)c3ccc(O)c(F)c3,283,6.548
Oc1ccc2nc(cc(Br)c2c1)c3cc(F)c(O)c(F)c3,783,6.106
Oc1ccc(cc1)c2cc(C=C)c3cc(O)ccc3n2,504,6.298
Oc1ccc2nc(cc(C=C)c2c1)c3ccc(O)c(F)c3,385,6.415
CCc1cc(nc2ccc(O)cc12)c3ccc(O)cc3,634,6.198
CCc1cc(nc2ccc(O)cc12)c3ccc(O)c(F)c3,1750,5.757
Oc1ccc(cc1)c2cc(C#C)c3cc(O)ccc3n2,1500,5.824
Oc1ccc2nc(cc(C#C)c2c1)c3ccc(O)c(F)c3,1309,5.883
Oc1ccc2nc(cc(C#C)c2c1)c3cc(F)c(O)c(F)c3,4820,5.317
Oc1ccc(cc1)c2cc(C#N)c3cc(O)ccc3n2,455,6.342
Oc1ccc2nc(cc(C#N)c2c1)c3ccc(O)c(F)c3,1047,5.98
CC(=O)c1cc(nc2ccc(O)cc12)c3ccc(O)cc3,3138,5.503
CC(=O)c1cc(nc2ccc(O)cc12)c3ccc(O)c(F)c3,3370,5.472
Oc1ccc2nc(cc(c3ccccc3)c2c1)c4ccc(O)c(F)c4,1815,5.741
COc1cc(nc2ccc(O)cc12)c3ccc(O)cc3,6630,5.178
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,1.3,8.886
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CC[C@@H](C)C5,1.3,8.886
C[C@@H]1CCN(CCOc2ccc(cc2)C(=O)c3c(sc4cc(O)ccc34)c5ccc(O)cc5)C1,0.6,9.222
C[C@@H](COc1ccc(cc1)C(=O)c2c(sc3cc(O)ccc23)c4ccc(O)cc4)N5CCCC5,0.2,9.699
C[C@@H]1CCN(CCOc2ccc(Cn3c(c(C)c4cc(O)ccc34)c5ccc(O)cc5)cc2)C1,0.5,9.301
C[C@@H](COc1ccc(Cn2c(c(C)c3cc(O)ccc23)c4ccc(O)cc4)cc1)N5CCCC5,0.4,9.398
C[C@@H]1CCN(CCOc2ccc(cc2)[C@H]3[C@H](CCc4cc(O)ccc34)c5ccccc5)C1,0.5,9.301
C[C@@H](COc1ccc(cc1)[C@H]2[C@H](CCc3cc(O)ccc23)c4ccccc4)N5CCCC5,0.6,9.222
Oc1ccc(cc1)c2[nH]c3ccccc3c2c4ccccc4,8310,5.08
Oc1ccc(cc1)c2c([nH]c3ccccc23)c4ccccc4,24,7.62
Oc1ccc(cc1)c2[nH]c3ccccc3c2c4ccc(O)cc4,94.8,7.023
c1ccc(cc1)c2[nH]c3ccccc3c2c4ccccc4,6950,5.158
Oc1ccc(cc1)c2[nH]c(nc2c3ccccc3)C(F)(F)F,403,6.395
Oc1ccc(cc1)c2noc(c2c3ccccc3)C(F)(F)F,8.5,8.071
Oc1ccc(cc1)n2c(nc3ccccc23)c4ccccc4Cl,1730,5.762
Cc1nocc1c2nc3ccccc3n2c4ccc(O)cc4,1160,5.936
Cn1cccc1c2nc3ccccc3n2c4ccc(O)cc4,2940,5.532
Oc1ccc(cc1)n2c(nc3ccccc23)c4ccccc4,1800,5.745
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C=C)C1CC[C@@H]2O,2236,5.651
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C=C)C1CC[C@@]2(O)C#C,147,6.833
C[C@]1(O)CCC2C3CC=C4C[C@@H](O)CC[C@]4(C=C)C3CC[C@]12C,1053,5.978
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CO)C1CC[C@@H]2O,6324,5.199
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC[C@@H]2O,210,6.678
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CC#C)C1CC[C@@H]2O,4643,5.333
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C#C)C1CC[C@@H]2O,425,6.372
CCC[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,5155,5.288
CC[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,2329,5.633
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CC=C)C1CC[C@@H]2O,1738,5.76
CC\C=C/[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,3042,5.517
C\C=C\[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,1164,5.934
C\C=C/[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,1956,5.709
CO\C=C/[C@]12CC[C@H](O)CC1=CCC3C4CC[C@H](O)[C@@]4(C)CCC23,3349,5.475
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34\C=C\Br)C1CC[C@@H]2O,3984,5.4
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34\C=C\Cl)C1CC[C@@H]2O,5600,5.252
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34\C=C/Cl)C1CC[C@@H]2O,6690,5.175
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34\C=C\F)C1CC[C@@H]2O,4165,5.38
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34\C=C/F)C1CC[C@@H]2O,4280,5.369
CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,79,7.102
CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,320,6.495
CN(C)CCOc1ccc(cc1)\C(=C(\CCO)/c2ccccc2)\c3ccc(O)cc3,250,6.602
CSCCC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,10,8
CN(C)CCOc1ccc(cc1)\C(=C(\CCCN=[N+]=[N-])/c2ccccc2)\c3ccc(O)cc3,13,7.886
CN(C)CCOc1ccc(cc1)\C(=C(\CCN=[N+]=[N-])/c2ccccc2)\c3ccc(O)cc3,1,9
CN(C)CCOc1ccc(cc1)\C(=C(\CCCC#N)/c2ccccc2)\c3ccc(O)cc3,25,7.602
CN(C)CCOc1ccc(cc1)\C(=C(\CCC#N)/c2ccccc2)\c3ccc(O)cc3,200,6.699
CN(C)CCOc1ccc(cc1)\C(=C(\CCCCl)/c2ccccc2)\c3ccc(O)cc3,100,7
CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccc(O)cc3,4,8.398
CCN(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,404,6.394
CCN(c1ccccc1Br)S(=O)(=O)c2ccc(O)cc2,90,7.046
CCN(c1cccc(OC)c1)S(=O)(=O)c2ccc(O)cc2,1973,5.705
CCCN(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,303,6.519
CCN(c1ccc(O)cc1)S(=O)(=O)c2ccc(O)cc2,272,6.565
CCN(c1ccccc1)S(=O)(=O)c2ccc(O)c(C)c2,328,6.484
CC(C)N(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,871,6.06
CCN(c1ccccc1OC)S(=O)(=O)c2ccc(O)cc2,830,6.081
CC(C)(C)CN(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,1371,5.863
Oc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)c3ccccc3,500,6.301
Oc1ccc(cc1)S(=O)(=O)N(C2CCCCC2)c3ccccc3,866,6.062
Oc1ccc(cc1)S(=O)(=O)N(c2ccccc2)c3ccccc3,410,6.387
CCCCN(c1ccccc1)S(=O)(=O)c2ccc(O)cc2,317,6.499
Oc1ccc(cc1)S(=O)(=O)N(CC=C)c2ccccc2,235,6.629
CCCN(c1ccccc1Br)S(=O)(=O)c2ccc(O)c(C)c2,40,7.398
CCCN(c1ccccc1c2ccccc2)S(=O)(=O)c3ccc(O)c(C)c3,253,6.597
CCCN(c1ccccc1F)S(=O)(=O)c2ccc(O)cc2,74,7.131
CCCN(c1ccccc1Br)S(=O)(=O)c2ccc(O)c(c2)C(F)(F)F,60,7.222
CCCN(c1ccccc1Br)S(=O)(=O)c2ccc(O)cc2,26,7.585
CCCN(c1c(C)cccc1CC)S(=O)(=O)c2ccc(O)c(C)c2,7,8.155
CCCN(c1c(C)cccc1C)S(=O)(=O)c2ccc(O)c(C)c2,14,7.854
CCCN(c1c(Cl)cccc1Cl)S(=O)(=O)c2ccc(O)c(C)c2,16,7.796
CCCN(c1c(CC)cccc1CC)S(=O)(=O)c2ccc(O)c(C)c2,5,8.301
CCCN(c1c(C)cccc1Cl)S(=O)(=O)c2ccc(O)c(C)c2,26,7.585
CCCN(c1c(C)cccc1Cl)S(=O)(=O)c2ccc(O)cc2,24,7.62
CCCN(c1ccccc1C(F)(F)F)S(=O)(=O)c2ccc(O)cc2,54,7.268
CCCN(c1ccccc1Cl)S(=O)(=O)c2ccc(O)c(C)c2,51,7.292
CCCN(c1ccccc1Cl)S(=O)(=O)c2ccc(O)cc2,42,7.377
CCCN(c1ccccc1C)S(=O)(=O)c2ccc(O)c(C)c2,109,6.963
CC1CCc2ccccc2N1S(=O)(=O)c3ccc(O)cc3,479,6.32
Oc1ccc2c(CCN(c3ccccc3Cl)S2(=O)=O)c1,892,6.05
Cc1c(O)ccc2c1CCc3cc(O)cc(C=C)c23,240,6.62
Cc1cc(O)c(C)c2c1c3ccc(O)c(C)c3OC2(C)CC=C,157,6.804
Cc1c(O)ccc2c1OC(C)(C)c3c(C)c(O)ccc23,468,6.33
CC(C)CC1Oc2c(C)c(O)ccc2c3c(C)cc(O)cc13,627,6.203
CC1Oc2c(C)c(O)ccc2c3c(C)cc(O)c(C)c13,237,6.625
CCCC1Oc2c(C)c(O)ccc2c3c(C)cc(O)cc13,626,6.203
CCC1Oc2c(C)c(O)ccc2c3c(C)cc(O)cc13,435,6.362
CCC1Oc2c(C)c(O)ccc2c3ccc(O)c(C)c13,101,6.996
CC1Oc2c(C)c(O)ccc2c3ccc(O)c(C)c13,335,6.475
CC1Oc2c(C)c(O)ccc2c3c(C)cc(O)cc13,1210,5.917
Cc1cc(O)cc2COc3c(C)c(O)ccc3c12,1030,5.987
Cc1c(O)ccc2c1COc3c(C)c(O)ccc23,4610,5.336
Cc1c(O)c(Cl)c(C)c2c3ccc(O)c(Cl)c3OC(=O)c12,597,6.224
Cc1c(O)c(Cl)cc2c3ccc(O)c(Cl)c3OC(=O)c12,524,6.281
Oc1ccc2c(OC(=O)c3c(Cl)c(O)c(F)cc23)c1Cl,11600,4.936
Cc1cc(O)c(C)c2C(=O)Oc3c(C)c(O)ccc3c12,716,6.145
Cc1cc(O)c(C)c2OC(=O)c3c(C)c(O)ccc3c12,785,6.105
Cc1cc(O)cc2C(=O)Oc3c(C)c(O)ccc3c12,583,6.234
CCc1cc(O)cc2C(=O)Oc3c(C)c(O)ccc3c12,1780,5.75
Cc1c(O)ccc2c3ccc(O)c(Br)c3OC(=O)c12,1920,5.717
CCc1c(O)ccc2c3ccc(O)c(F)c3OC(=O)c12,228,6.642
Cc1c(O)ccc2c3ccc(O)c(F)c3OC(=O)c12,1580,5.801
CCc1c(O)ccc2c1OC(=O)c3c(C)c(O)ccc23,229,6.64
CCc1c(O)ccc2c3ccc(O)c(C)c3OC(=O)c12,484,6.315
Cc1c(O)ccc2c1OC(=O)c3c(O)c(O)ccc23,1280,5.893
Cc1cc(O)c(Cl)c2C(=O)Oc3c(Cl)c(O)ccc3c12,2521,5.598
Cc1cc(O)cc2OC(=O)c3c(C)c(O)ccc3c12,1860,5.73
Cc1cc(O)c(C)c2OC(=O)c3cc(O)ccc3c12,488,6.312
Cc1c(O)ccc2c3ccc(O)cc3OC(=O)c12,1170,5.932
Cc1c(O)ccc2c1OC(=O)c3cc(O)ccc23,654,6.184
Cc1c(O)ccc2c1OC(=O)c3c(C)c(O)ccc23,159,6.799
COc1c(C)c(Br)c2C(=O)Oc3c(C)c(O)ccc3c2c1C,225,6.648
COc1c(C)cc2C(=O)Oc3c(C)c(O)ccc3c2c1C,4160,5.381
CCc1cc(OC)cc2C(=O)Oc3c(C)c(O)ccc3c12,9830,5.007
Cc1cc(C=C)c2c(c1)C(=O)Oc3c(C)c(O)ccc23,10000,5
Cc1cc(CC=C)c2c(c1)C(=O)Oc3c(C)c(O)ccc23,10000,5
Cc1cc(Br)c2c(c1)C(=O)Oc3c(C)c(O)ccc23,3120,5.506
Cc1cc(C)c2c(c1)C(=O)Oc3c(C)c(O)ccc23,3710,5.431
CC\C=C\c1cc2c(cc1Br)C(=O)Oc3c(C)c(O)ccc23,1090,5.963
COc1cc2C(=O)Oc3c(C)c(O)ccc3c2cc1Br,10000,5
Cc1cc2c(cc1Br)C(=O)Oc3c(C)c(O)ccc23,6850,5.164
Cc1ccc(C)c2c3ccc(O)c(C)c3OC(=O)c12,3074,5.512
Cc1c(O)ccc2c1OC(=O)c3c(Br)cc(Br)cc23,597,6.224
Cc1c(O)ccc2c1OC(=O)c3c(C)c(NS(=O)(=O)C)ccc23,4258,5.371
Cc1c(O)ccc2c1OC(=O)c3c(C)c(N)ccc23,14300,4.845
COc1ccc2c3ccc(O)c(C)c3OC(=O)c2c1C,1000,6
C\C=C\c1cccc2C(=O)Oc3c(C)c(O)ccc3c12,3030,5.519
CCc1c(O)ccc2c1OC(=O)c3cc(Br)ccc23,5460,5.263
Cc1cc(C)c2c(c1)C(=O)Oc3cc(O)ccc23,585,6.233
Cc1c(O)ccc2c1OC(=O)c3cc(C=C)ccc23,4590,5.338
CCC1Oc2c(C)c(O)ccc2c3c(C)cc(O)c(C)c13,129,6.889
Oc1ccc(cc1)N2C=Nc3cc(O)cc(O)c3C2=O,11097,4.955
Oc1ccc(cc1)N2C=Nc3cc(O)cc(O)c3C2=S,2636,5.579
Oc1cc(O)c2C(=O)N(C=Nc2c1)c3ccc(O)c(F)c3,44175,4.355
Oc1cc(O)c2C(=O)N(C=Nc2c1)c3ccc(O)c(Cl)c3,55015,4.26
Cc1cc(O)ccc1N2C=Nc3cc(O)cc(O)c3C2=O,4382,5.358
COc1cc(O)c2C(=O)N(C=Nc2c1)c3ccc(O)cc3,25956,4.586
Oc1cc(O)c2C(=O)N(C=Nc2c1)c3ccc(O)nc3,66860,4.175
Oc1ccc(nc1)N2C=Nc3cc(O)cc(O)c3C2=O,97982,4.009
Cc1cc(ccc1O)N2C=Nc3cc(O)cc(O)c3C2=O,34626,4.461
Oc1ccc(N2C=Nc3cc(O)cc(O)c3C2=O)c(Cl)c1,6247,5.204
Oc1ccc(N2C=Nc3cc(O)cc(O)c3C2=O)c(F)c1,7485,5.126
CC(C)C1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,70399,4.152
CCCCC1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,178,6.75
CCCC1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,5365,5.27
CCC1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,19437,4.711
CC1=Nc2cc(O)cc(O)c2C(=O)N1c3ccc(O)cc3,33248,4.478
Oc1cc(O)c2C(=O)N(C=Nc2c1)c3ccccc3,75588,4.122
Oc1cccc(c1)N2C=Nc3cc(O)cc(O)c3C2=O,43814,4.358
Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O,53640,4.271
CCCc1c(O)cc2N=CN(C(=O)c2c1O)c3ccc(O)cc3,10649,4.973
Cc1c(O)cc(O)c2C(=O)N(C=Nc12)c3ccc(O)cc3,15297,4.815
CC(=C)c1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,43968,4.357
OCc1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,121,6.917
Oc1ccc(cc1)N2C=Nc3cc(O)cc(c4ccccc4)c3C2=O,101544,3.993
COC(=O)c1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,81324,4.09
CCc1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,13240,4.878
Cc1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,9635,5.016
Nc1cc(O)cc2N=CN(C(=O)c12)c3ccc(O)cc3,15521,4.809
Oc1ccc(cc1)N2C(=O)c3ccc(O)cc3N=C2c4ccc(O)cc4,48473,4.315
Oc1ccc(cc1)N2C(=O)Nc3cc(O)cc(O)c3C2=O,70277,4.153
Oc1ccc(cc1)N2C(=S)Nc3cc(O)cc(O)c3C2=O,11111,4.954
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=S,55883,4.253
Oc1ccc(nc1)N2C=Nc3cc(O)cc(O)c3C2=S,27569,4.56
CCc1cc(O)cc2N=CN(C(=S)c12)c3ccc(O)cc3,2260,5.646
Cc1cc(O)cc2N=CN(C(=S)c12)c3ccc(O)cc3,1753,5.756
Cc1cc(ccc1O)N2C=Nc3cc(O)cc(O)c3C2=S,2854,5.545
Oc1cc(O)c2C(=S)N(C=Nc2c1)c3ccc(O)c(F)c3,3080,5.511
Oc1ccc2C3=C(COc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCCCC6)cc5,0.61,9.215
Oc1ccc2C3=C(COc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5,51,7.292
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,2,8.699
CC(C)CC12CCC(=O)C(=C1c3ccc(O)cc3C2)C,195,6.71
CCCC[C@]12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,4023,5.395
CCCC[C@@]12CCC(=O)C(=C1c3ccc(O)cc3C2)C,567,6.246
CCCC[C@@]12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,129,6.889
Oc1ccc2C3=C(C#N)C(=O)CCC3(Cc2c1)c4ccccc4,880,6.056
Oc1ccc2C3=C(C(=O)CCC3(Cc2c1)c4ccccc4)c5occc5,389,6.41
Oc1ccc2C3=C(Br)C(=O)CCC3(Cc2c1)c4ccccc4,113,6.947
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)I,124,6.907
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)Cl,114,6.943
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)C(F)(F)F,128,6.893
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)C#N,1650,5.783
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)c4ccccc4,41,7.387
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)c4cccs4,70.5,7.152
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)c4occc4,196,6.708
CCCCC1=C2c3ccc(O)cc3CC2(CCCC)CCC1=O,273,6.564
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)CCC,30,7.523
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)CC,264,6.578
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,141,6.851
CCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,79,7.102
CCC12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,319,6.496
CC12CCC(=O)C(=C1c3ccc(O)cc3C2)Br,883,6.054
CC1=C2c3ccc(O)cc3CC2(CCC1=O)c4ccccc4,481,6.318
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)C,630,6.201
CC(C)C12CCC(=O)C(=C1c3ccc(O)cc3C2)C,1420,5.848
CCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)C,455,6.342
CCC12CCC(=O)C(=C1c3ccc(O)cc3C2)C,1210,5.917
CC1=C2c3ccc(O)cc3CC2(C)CCC1=O,1190,5.924
CCCCCC12CCC(=O)C=C1c3ccc(O)cc3C2,3740,5.427
CCCCC12CCC(=O)C=C1c3ccc(O)cc3C2,6450,5.19
CCCC12CCC(=O)C=C1c3ccc(O)cc3C2,2530,5.597
CC12CCC(=O)C=C1c3ccc(O)cc3C2,4245,5.372
CCCCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)Br,1410,5.851
CC1=C2c3ccc4[nH]ncc4c3CC2(C)CCC1=O,4410,5.356
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C,1360,5.866
CCCCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C,1050,5.979
CCC1=C2c3ccc4[nH]ncc4c3CC2(CC)CCC1=O,223,6.652
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)CC,93,7.032
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)Cl,470,6.328
CC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)Br,1990,5.701
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)Br,249,6.604
CCCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)Br,663,6.178
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CC5CC5)CCC1=O,230,6.638
CCCCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C5CC5,422,6.375
CCCC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C(=O)OC,2080,5.682
CC[C@@]12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C5CC5,470,6.328
CCCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2)C,976,6.011
